,municipio,latitude,longitude,ddd,estado
1923,Goianápolis,-16.5098,-49.0234,62,GO
1924,Goiandira,-18.1352,-48.0875,64,GO
1925,Goianésia,-15.3118,-49.1162,62,GO
1926,Goianésia do Pará,-3.84338,-49.0974,94,PA
1927,Goiânia,-16.6864,-49.2643,62,GO
1928,Goianinha,-6.26486,-35.1943,84,RN
1929,Goianira,-16.4947,-49.427,62,GO
1930,Goianorte,-8.77413,-48.9313,63,TO
1931,Goiás,-15.9333,-50.14,62,GO
1932,Goiatins,-7.71478,-47.3252,63,TO
1933,Goiatuba,-18.0105,-49.3658,64,GO
1934,Goioerê,-24.1835,-53.0248,44,PR
1935,Goioxim,-25.1927,-51.9911,42,PR
1936,Gonçalves,-22.6545,-45.8556,35,MG
1937,Gonçalves Dias,-5.1475,-44.3013,99,MA
1938,Gongogi,-14.3195,-39.469,73,BA
1939,Gonzaga,-18.8196,-42.4769,33,MG
1940,Gouveia,-18.4519,-43.7423,38,MG
1941,Gouvelândia,-18.6238,-50.0805,64,GO
1942,Governador Archer,-5.02078,-44.2754,99,MA
1943,Governador Celso Ramos,-27.3172,-48.5576,48,SC
1944,Governador Dix-Sept Rosado,-5.44887,-37.5183,84,RN
1945,Governador Edison Lobão,-5.74973,-47.3646,99,MA
1946,Governador Eugênio Barros,-5.31897,-44.2469,99,MA
1947,Governador Jorge Teixeira,-10.61,-62.7371,69,RO
1948,Governador Lindenberg,-19.1864,-40.4473,27,ES
1949,Governador Luiz Rocha,-5.47835,-44.0774,99,MA
1950,Governador Mangabeira,-12.5994,-39.0412,75,BA
1951,Governador Newton Bello,-3.43245,-45.6619,98,MA
1952,Governador Nunes Freire,-2.12899,-45.8777,98,MA
1953,Governador Valadares,-18.8545,-41.9555,33,MG
1954,Graça,-4.04422,-40.749,88,CE
1955,Graça Aranha,-5.40547,-44.3358,99,MA
1956,Gracho Cardoso,-10.2252,-37.2006,79,SE
1957,Grajaú,-5.81367,-46.1462,99,MA
1958,Gramado,-29.3734,-50.8762,54,RS
1959,Gramado dos Loureiros,-27.4429,-52.9149,54,RS
